created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,latitude,longitude,elevation,status
2019-09-14 18:06:37 IST,1,90.30000,27.30000,20.16916,0.12942,7.50078,15.10000,25.10000,,,,
2019-09-14 18:06:57 IST,2,90.30000,27.30000,20.57908,0.13375,7.73477,15.90000,27.40000,,,,
2019-09-14 18:07:13 IST,3,90.30000,27.20000,18.31251,0.13812,6.47256,15.60000,28.40000,,,,
2019-09-14 18:07:32 IST,4,90.40000,27.20000,20.03348,0.14033,7.42388,15.20000,27.40000,,,,
2019-09-14 18:07:52 IST,5,90.40000,27.20000,20.16916,0.14365,7.50078,15.60000,27.60000,,,,
2019-09-14 18:08:12 IST,6,90.50000,27.20000,20.03348,0.14588,7.42388,15.60000,26.50000,,,,
2019-09-14 18:08:32 IST,7,90.50000,27.30000,20.03348,0.14812,7.42388,14.90000,31.70000,,,,
2019-09-14 18:08:49 IST,8,90.70000,27.30000,20.16916,0.14924,7.50078,14.20000,26.60000,,,,
2019-09-14 18:09:05 IST,9,90.50000,27.20000,18.18337,0.15490,6.40300,15.10000,28.00000,,,,
2019-09-14 18:09:22 IST,10,90.50000,27.30000,20.03348,0.15376,7.42388,15.00000,28.00000,,,,
2019-09-14 18:09:42 IST,11,90.50000,27.30000,19.89828,0.15604,7.34752,15.50000,29.70000,,,,
2019-09-14 18:10:02 IST,12,90.50000,27.30000,19.76355,0.15718,7.27171,16.30000,32.30000,,,,
2019-09-14 18:10:20 IST,13,90.50000,27.30000,19.89828,0.15718,7.34752,15.00000,33.60000,,,,
2019-09-14 18:10:37 IST,14,90.50000,27.30000,19.22937,0.15947,6.97379,14.90000,33.70000,,,,
2019-09-14 18:10:57 IST,15,90.50000,27.30000,19.36221,0.16178,7.04747,15.20000,32.60000,,,,
2019-09-14 18:11:17 IST,16,90.50000,27.30000,19.36221,0.16178,7.04747,14.60000,25.50000,,,,
2019-09-14 18:11:37 IST,17,90.50000,27.30000,19.36221,0.16293,7.04747,14.90000,26.60000,,,,
2019-09-14 18:11:55 IST,18,90.50000,27.30000,19.49552,0.16293,7.12168,14.60000,25.80000,,,,
2019-09-14 18:12:12 IST,19,90.50000,27.20000,16.91678,0.16759,5.73470,13.90000,26.60000,,,,
2019-09-14 18:12:32 IST,20,90.50000,27.30000,17.54447,0.16876,6.06272,14.00000,26.00000,,,,